id,locale_de,RefModel,Command,Type,status_de,Comment
Standard_2681537,Status,Standard,,caption,final,<NO_COMMENT>
Standard_6760620,Personalnummer,Standard,,caption,final,US1006
Standard_2686884,Zusatz,Standard,,caption,final,<NO_COMMENT>
Standard_6959377,ShowDuplicate,Standard,,caption,final,Created by Wcl Migration
Standard_2680092,Organisationseinheit,Standard,,caption,final,<NO_COMMENT>
Standard_5483104,Zugeordnet zu Anlage,Standard,,caption,exported,Assigned to Asset
Standard_2689942,Adresszeile 3,Standard,,caption,final,<NO_COMMENT>
Standard_5504013,Segment,Standard,,title,final,<NO_COMMENT>
Standard_2701319,Grosskunden PLZ,Standard,,caption,final,<NO_COMMENT>
Standard_2691616,Überg. Geografie,Standard,,caption,final,<NO_COMMENT>
Standard_2678982,Nummer,Standard,,caption,final,<NO_COMMENT>
Standard_6959216,Kontakte abgleichen,Standard,,caption,final,Created by Wcl Migration
Standard_5504008,Adresse,Standard,,title,final,<NO_COMMENT>
Standard_2720445,Termine,Standard,,caption,final,<NO_COMMENT>
Standard_2689941,Adresszeile 2,Standard,,caption,final,<NO_COMMENT>
Standard_2684258,Nein,Standard,,caption,final,<NO_COMMENT>
Standard_6023568,Alte Adressnummer [LWC],Standard,,caption,final,Alte Adressnummer [low level code]
Standard_2713478,Kontakt mit Adr.,Standard,,caption,final,<NO_COMMENT>
Standard_2713436,Abgeschlossen,Standard,,caption,final,<NO_COMMENT>
Standard_2689975,Partner-Name,Standard,,caption,final,<NO_COMMENT>
Standard_2759033,Personenart Code,Standard,,caption,exported,<NO_COMMENT>
Standard_2689235,Zusatzinformation,Standard,,caption,final,<NO_COMMENT>
Standard_5573137,Telefon G,Standard,,caption,final,Telefon G
Standard_2730692,Werbecodes,Standard,,caption,final,<NO_COMMENT>
Standard_2759040,Person Nummer,Standard,,caption,exported,<NO_COMMENT>
Standard_2684792,Versicherungsnr. 2,Standard,,caption,final,<NO_COMMENT>
Standard_2759037,Kommentar E-Mail Geschäft,Standard,,caption,final,Comment company eMail
Standard_2713422,Partner anzeigen,Standard,,caption,final,<NO_COMMENT>
Standard_2686034,Sprache,Standard,,caption,final,<NO_COMMENT>
Standard_2713469,Zielgruppen,Standard,,caption,final,<NO_COMMENT>
Standard_5504354,Personenbeziehungsart,Standard,,title,final,<NO_COMMENT>
Standard_5503430,Zuordnung Land-Geografiegruppe,Standard,,title,final,<NO_COMMENT>
Standard_2691056,Adressenstandort,Standard,,caption,final,<NO_COMMENT>
Standard_2689976,Geschlecht,Standard,,caption,final,<NO_COMMENT>
Standard_2690260,Ort,Standard,,caption,final,<NO_COMMENT>
Standard_2724324,Adresse Detail,Standard,,caption,final,<NO_COMMENT>
Standard_2686519,ME,Standard,,caption,final,<NO_COMMENT>
Standard_5506005,Internettelefon,Standard,,caption,final,as is
Standard_2717000,Anhang,Standard,,caption,final,<NO_COMMENT>
Standard_6958958,Als Hauptadresse markieren,Standard,,caption,final,Created by Wcl Migration
Standard_2679162,Produkt,Standard,,caption,final,<NO_COMMENT>
Standard_2698949,Verantwortung,Standard,,caption,final,<NO_COMMENT>
Standard_2705477,Aktionär,Standard,,caption,final,<NO_COMMENT>
Standard_2713639,Adressnummer,Standard,,caption,final,<NO_COMMENT>
Standard_5837437,Restriktion 4,Standard,,caption,exported,Restriktion 4
Standard_5502679,Kontokorrent mit Tankstelle,Standard,,caption,exported,flag for currentaccount
Standard_2692390,Raum,Standard,,caption,final,<NO_COMMENT>
Standard_2689331,Personen-Beziehung,Standard,,caption,final,<NO_COMMENT>
Standard_2696061,ISO Landcode,Standard,,caption,final,<NO_COMMENT>
Standard_2689328,Bezirk,Standard,,caption,final,<NO_COMMENT>
Standard_2713427,Beziehungen,Standard,,caption,final,<NO_COMMENT>
Standard_2687629,Anzahl Kontakte,Standard,,caption,final,<NO_COMMENT>
Standard_2689950,Anrede,Standard,,caption,final,<NO_COMMENT>
Standard_2682388,Adresse,Standard,,caption,final,<NO_COMMENT>
Standard_2689344,View Name,Standard,,caption,final,<NO_COMMENT>
Standard_2718155,Mitarbeiter Detail,Standard,,caption,final,<NO_COMMENT>
Standard_2678826,Gültig bis,Standard,,caption,final,<NO_COMMENT>
Standard_2705474,Kein Mitglied,Standard,,caption,final,<NO_COMMENT>
Standard_2692395,Partner-Nummer,Standard,,caption,final,<NO_COMMENT>
Standard_2678825,Gültig von,Standard,,caption,final,<NO_COMMENT>
Standard_2680601,Nummer,Standard,,caption,final,<NO_COMMENT>
Standard_2683776,Kurzadresse,Standard,,caption,final,<NO_COMMENT>
Standard_6959612,Neu (optimierte Erfassung),Standard,,caption,final,Created by Wcl Migration
Standard_2689965,Juristische Person,Standard,,caption,final,<NO_COMMENT>
Standard_2713431,Projektverwaltung,Standard,,caption,final,<NO_COMMENT>
Standard_2689951,Anrede formell,Standard,,caption,final,<NO_COMMENT>
Standard_2694042,Berechnetes Feld,Standard,,caption,final,<NO_COMMENT>
Standard_2689329,Person Segment,Standard,,caption,final,<NO_COMMENT>
Standard_6958211,Bearbeiten,Standard,,caption,final,Created by Wcl Migration
Standard_2681445,Dimensionen,Standard,,caption,final,<NO_COMMENT>
Standard_2693928,Zielerreichung %,Standard,,caption,final,<NO_COMMENT>
Standard_2690151,Umsatz,Standard,,caption,final,<NO_COMMENT>
Standard_2695147,Niederlassung,Standard,,caption,final,<NO_COMMENT>
Standard_2679495,Lieferant,Standard,,caption,final,<NO_COMMENT>
Standard_2733238,/,Standard,,text,final,<NO_COMMENT>
Standard_2713508,Übergeordnete Person,Standard,,caption,final,<NO_COMMENT>
Standard_2689940,Adresszeile 1,Standard,,caption,final,<NO_COMMENT>
Standard_5483094,X-Koordinate,Standard,,caption,exported,X-Coordinate
Standard_2728067,Bezeichnung Region,Standard,,caption,final,<NO_COMMENT>
Standard_5503956,Adressenstandort,Standard,,title,final,<NO_COMMENT>
