id,locale_en,RefModel,Command,Type,status_en,,Comment
Standard_0000002,,Standard,,caption,final,Test für Weblate Translation process
Standard_2681537,Status,Standard,,caption,final,,<NO_COMMENT>
Standard_6760620,Personnel number,Standard,,caption,final,,US1006
Standard_2686884,Extension,Standard,,caption,final,,<NO_COMMENT>
Standard_6959377,Show duplicate,Standard,,caption,final,,Created by Wcl Migration
Standard_2680092,Organisation unit,Standard,,caption,final,,<NO_COMMENT>
Standard_5483104,Assigned to asset,Standard,,caption,final,,Assigned to Asset
Standard_2689942,Address line 3,Standard,,caption,final,,<NO_COMMENT>
Standard_5504013,Segment,Standard,,title,final,,<NO_COMMENT>
Standard_2701319,Major cust. post code,Standard,,caption,final,,<NO_COMMENT>
Standard_2691616,Parent geo.,Standard,,caption,final,,<NO_COMMENT>
Standard_2678982,Number,Standard,,caption,final,,<NO_COMMENT>
Standard_6959216,Synchronise contacts,Standard,,caption,final,,Created by Wcl Migration
Standard_5504008,Address,Standard,,title,final,,<NO_COMMENT>
Standard_2720445,Dates,Standard,,caption,final,,<NO_COMMENT>
Standard_2689941,Address line 2,Standard,,caption,final,,<NO_COMMENT>
Standard_2684258,No,Standard,,caption,final,,<NO_COMMENT>
Standard_6023568,Old address no. [lower code],Standard,,caption,final,,Alte Adressnummer [low level code]
Standard_2713478,Contact with adr.,Standard,,caption,final,,<NO_COMMENT>
Standard_2713436,Completed,Standard,,caption,final,,<NO_COMMENT>
Standard_2689975,Name of the partner,Standard,,caption,final,,<NO_COMMENT>
Standard_2759033,Person type code,Standard,,caption,final,,<NO_COMMENT>
Standard_2689235,Object information,Standard,,caption,final,,<NO_COMMENT>
Standard_5573137,Business phone,Standard,,caption,final,,Telefon G
Standard_2730692,Advertising codes,Standard,,caption,final,,<NO_COMMENT>
Standard_2759040,Person number,Standard,,caption,final,,<NO_COMMENT>
Standard_2684792,Insurance number 2,Standard,,caption,final,,<NO_COMMENT>
Standard_2759037,Comment company eMail,Standard,,caption,final,,Comment company eMail
Standard_2713422,Display partner,Standard,,caption,final,,<NO_COMMENT>
Standard_2686034,Language,Standard,,caption,final,,<NO_COMMENT>
Standard_2713469,Target groups,Standard,,caption,final,,<NO_COMMENT>
Standard_5504354,Person relation type,Standard,,title,final,,<NO_COMMENT>
Standard_5503430,Country - geography group assignment,Standard,,title,final,,<NO_COMMENT>
Standard_2691056,Address location,Standard,,caption,final,,<NO_COMMENT>
Standard_2689976,Sex,Standard,,caption,final,,<NO_COMMENT>
Standard_2690260,City,Standard,,caption,final,,<NO_COMMENT>
Standard_2724324,Address Detail1,Standard,,caption,final,,<NO_COMMENT>
Standard_2686519,UOM,Standard,,caption,final,,<NO_COMMENT>
Standard_5506005,Web phone,Standard,,caption,final,,as is
Standard_2717000,Attachment,Standard,,caption,final,,<NO_COMMENT>
Standard_6958958,Flag as main address,Standard,,caption,final,,Created by Wcl Migration
Standard_2679162,Product,Standard,,caption,final,,<NO_COMMENT>
Standard_2698949,Responsibility,Standard,,caption,final,,<NO_COMMENT>
Standard_2705477,Stockholder,Standard,,caption,final,,<NO_COMMENT>
Standard_2713639,Address number,Standard,,caption,final,,<NO_COMMENT>
Standard_5837437,Restriction 4,Standard,,caption,final,,Restriktion 4
Standard_5502679,Current account with filling station,Standard,,caption,final,,flag for currentaccount
Standard_2692390,Room,Standard,,caption,final,,<NO_COMMENT>
Standard_2689331,Person relation,Standard,,caption,final,,<NO_COMMENT>
Standard_2696061,ISO country code,Standard,,caption,final,,<NO_COMMENT>
Standard_2689328,District,Standard,,caption,final,,<NO_COMMENT>
