id,locale_fr,RefModel,Command,Type,status_fr,Comment
Standard_2681537,État,Standard,,caption,final,<NO_COMMENT>
Standard_6760620,Numéro personnel,Standard,,caption,final,US1006
Standard_2686884,Complément,Standard,,caption,final,<NO_COMMENT>
Standard_6959377,ShowDuplicate,Standard,,caption,final,Created by Wcl Migration
Standard_2680092,Unité d'organisation,Standard,,caption,final,<NO_COMMENT>
Standard_5483104,Attribué à installation,Standard,,caption,final,Assigned to Asset
Standard_2689942,Ligne d'adresse 3,Standard,,caption,final,<NO_COMMENT>
Standard_5504013,Segment,Standard,,title,final,<NO_COMMENT>
Standard_2701319,Code postal gros client,Standard,,caption,final,<NO_COMMENT>
Standard_2691616,Géo. supérieure,Standard,,caption,final,<NO_COMMENT>
Standard_2678982,Numéro,Standard,,caption,final,<NO_COMMENT>
Standard_6959216,Accorder contacts,Standard,,caption,final,Created by Wcl Migration
Standard_5504008,Adresse,Standard,,title,final,<NO_COMMENT>
Standard_2720445,Dates,Standard,,caption,final,<NO_COMMENT>
Standard_2689941,Ligne d'adresse 2,Standard,,caption,final,<NO_COMMENT>
Standard_2684258,Non,Standard,,caption,final,<NO_COMMENT>
Standard_6023568,Ancien numéro d'adresse [code bas niveau],Standard,,caption,final,Alte Adressnummer [low level code]
Standard_2713478,Contact avec adr.,Standard,,caption,final,<NO_COMMENT>
Standard_2713436,Clôturé,Standard,,caption,final,<NO_COMMENT>
Standard_2689975,Nom du partenaire,Standard,,caption,final,<NO_COMMENT>
Standard_2759033,Code de genre de personne,Standard,,caption,final,<NO_COMMENT>
Standard_2689235,Information suppl.,Standard,,caption,final,<NO_COMMENT>
Standard_5573137,Téléphone entreprise,Standard,,caption,final,Telefon G
Standard_2730692,Codes de publicité,Standard,,caption,final,<NO_COMMENT>
Standard_2759040,Numéro personne,Standard,,caption,final,<NO_COMMENT>
Standard_2684792,N° d'assurance 2,Standard,,caption,final,<NO_COMMENT>
Standard_2759037,Commentaire eMail entreprise,Standard,,caption,final,Comment company eMail
Standard_2713422,Afficher partenaire,Standard,,caption,final,<NO_COMMENT>
Standard_2686034,Langue,Standard,,caption,final,<NO_COMMENT>
Standard_2713469,Groupes cibles,Standard,,caption,final,<NO_COMMENT>
